Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-02-13,65,120,138,138,105,101,100,135,76,123
2020-02-12,83,104,142,131,95,102,200,135,73,118
2020-02-11,30,99,142,128,82,101,0,136,73,120
2020-02-10,35,112,112,106,108,95,100,130,59,117
2020-02-09,65,50,12,46,71,69,100,38,30,62
2020-02-08,78,103,35,71,106,90,100,55,45,90
2020-02-07,96,126,135,121,95,110,0,134,66,133
2020-02-06,117,115,112,168,88,106,400,138,141,123
2020-02-05,178,117,158,114,98,100,0,150,162,128
2020-02-04,39,97,127,99,96,97,200,133,58,123
2020-02-03,35,95,123,96,101,98,0,128,56,118
2020-02-02,100,73,19,65,81,78,100,43,71,61
2020-02-01,109,107,42,81,97,104,100,57,107,79
2020-01-31,96,151,92,104,112,122,100,134,100,122
2020-01-30,52,119,115,127,110,104,300,139,94,128
2020-01-29,109,127,112,105,103,108,100,140,82,122
2020-01-28,39,96,88,109,108,109,100,130,65,118
2020-01-27,39,105,142,112,112,97,200,138,133,112
2020-01-26,96,47,12,46,79,72,100,36,29,49
2020-01-25,65,82,23,68,86,88,100,49,39,70
2020-01-24,109,125,135,115,90,101,100,130,130,112
2020-01-23,30,86,131,106,75,81,100,116,51,92
2020-01-22,139,103,104,88,91,107,300,131,120,102
2020-01-21,174,109,150,119,124,101,300,145,168,110
2020-01-20,43,75,112,53,96,65,0,88,46,76
2020-01-19,157,47,19,31,74,71,100,48,156,50
2020-01-18,152,80,65,60,94,85,200,57,140,73
2020-01-17,74,114,100,123,90,106,200,124,64,95
2020-01-16,104,100,208,122,88,108,100,134,58,107
2020-01-15,104,122,142,110,112,123,500,143,140,113
2020-01-14,35,97,131,112,114,97,0,124,53,100
2020-01-13,65,117,115,91,89,105,200,130,54,108
2020-01-12,139,62,12,50,78,65,300,39,77,50
2020-01-11,209,99,38,64,99,95,200,52,156,57
2020-01-10,165,122,127,119,110,106,300,137,151,108
2020-01-09,157,117,188,115,95,97,400,138,173,114
2020-01-08,65,99,142,87,92,90,0,120,69,96
2020-01-07,143,99,108,126,95,100,0,124,153,93
2020-01-06,48,107,169,112,108,94,100,119,55,106
2020-01-05,213,66,19,50,90,89,300,49,143,56
2020-01-04,178,84,77,64,105,79,100,59,163,70
2020-01-03,96,116,119,119,124,109,0,116,54,101
2020-01-02,70,108,96,94,110,107,200,123,134,97
2020-01-01,83,60,19,55,77,65,100,60,24,42
2019-12-31,74,100,96,79,114,92,300,98,41,86
2019-12-30,148,74,81,53,100,101,100,112,144,80
