Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-04-24,13,11,19,18,10,17,11,22,18,21
2020-04-23,17,8,12,15,15,11,12,21,17,20
2020-04-22,17,13,17,15,11,23,13,22,17,21
2020-04-21,13,20,17,15,12,15,14,21,17,20
2020-04-20,15,10,13,15,12,13,14,21,16,20
2020-04-19,6,11,3,6,0,3,3,10,8,7
2020-04-18,8,8,7,9,5,6,4,13,11,13
2020-04-17,17,18,16,15,10,20,13,20,15,19
2020-04-16,16,19,19,13,14,20,14,20,15,20
2020-04-15,16,21,15,13,17,11,12,20,15,19
2020-04-14,14,12,15,14,9,14,15,19,16,18
2020-04-13,17,14,13,13,10,13,11,19,16,19
2020-04-12,5,6,2,6,1,3,2,8,7,7
2020-04-11,7,12,4,8,1,7,2,11,10,11
2020-04-10,13,15,19,17,14,17,13,21,17,20
2020-04-09,19,20,20,16,12,11,13,22,16,21
2020-04-08,18,16,15,13,12,10,16,22,17,21
2020-04-07,17,19,16,13,12,10,16,22,16,20
2020-04-06,19,12,15,14,14,10,16,21,15,20
2020-04-05,5,4,3,6,0,1,1,9,7,7
2020-04-04,7,10,6,7,4,0,2,12,9,10
2020-04-03,17,19,18,15,13,28,13,24,16,22
2020-04-02,18,11,22,13,15,7,14,23,16,21
2020-04-01,22,24,16,14,13,10,11,24,16,22
2020-03-31,17,18,19,15,15,7,14,24,16,22
2020-03-30,19,12,19,14,19,13,15,23,16,21
2020-03-29,7,9,2,4,0,0,2,10,6,7
2020-03-28,9,10,4,7,4,3,4,12,8,10
2020-03-27,21,23,17,15,13,14,13,24,16,22
2020-03-26,17,22,16,16,22,15,14,24,16,23
2020-03-25,20,24,21,17,14,25,18,27,19,24
2020-03-24,21,23,16,17,19,14,13,25,17,23
2020-03-23,17,19,19,16,14,15,13,26,16,23
2020-03-22,8,8,1,6,1,7,1,11,7,8
2020-03-21,5,12,6,7,4,3,3,13,8,11
2020-03-20,24,17,31,23,19,24,19,35,21,31
2020-03-19,32,32,38,31,29,23,28,43,28,39
2020-03-18,42,41,45,34,33,30,32,49,34,46
2020-03-17,45,42,45,37,37,45,41,55,36,52
2020-03-16,66,57,65,51,54,58,59,78,51,77
2020-03-15,16,24,4,19,3,11,5,30,21,23
2020-03-14,28,44,17,27,16,10,12,44,34,41
2020-03-13,101,102,93,86,68,99,93,124,84,126
2020-03-12,126,90,137,114,122,96,138,164,110,164
2020-03-11,150,119,161,115,123,99,151,178,118,178
2020-03-10,143,126,173,114,114,149,133,175,120,179
2020-03-09,133,117,158,120,116,124,136,172,116,173
2020-03-08,30,39,14,30,11,18,8,51,41,40
2020-03-07,42,52,33,45,23,25,21,67,54,65
2020-03-06,138,103,161,115,122,96,150,173,118,174
2020-03-05,156,129,162,125,139,114,158,190,125,183
2020-03-04,147,118,198,130,141,113,148,186,126,174
2020-03-03,146,108,211,152,143,131,171,191,142,169
2020-03-02,141,108,228,147,131,114,146,182,139,157
2020-03-01,30,28,23,45,11,11,12,50,45,35
2020-02-29,76,63,42,63,19,17,21,69,64,57
2020-02-28,135,166,211,155,127,142,141,179,134,156
2020-02-27,145,145,212,162,141,142,167,193,144,164
2020-02-26,130,123,214,147,132,137,142,182,135,152
2020-02-25,141,129,236,162,156,114,165,198,148,171
2020-02-24,142,126,233,158,157,123,151,190,141,162
2020-02-23,34,40,18,43,8,25,7,51,45,34
2020-02-22,38,61,36,64,21,23,19,70,63,57
