Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-04-02,30,61,28,88,91,76,69,67,0,60,56
2020-04-01,28,54,36,94,74,96,62,84,50,65,64
2020-03-31,21,50,29,99,67,81,66,61,0,57,50
2020-03-30,20,62,29,102,107,86,58,58,50,47,56
2020-03-29,17,28,2,92,59,53,53,53,0,31,34
2020-03-28,20,41,11,86,56,79,61,47,0,54,54
2020-03-27,26,54,36,83,74,87,56,68,0,61,60
2020-03-26,31,60,32,76,57,75,53,58,0,49,50
2020-03-25,24,54,42,84,131,91,74,61,0,60,63
2020-03-24,22,60,39,100,117,68,62,68,0,54,55
2020-03-23,19,52,36,87,98,83,61,69,0,53,56
2020-03-22,14,27,1,111,57,58,49,53,0,34,36
2020-03-21,27,34,23,101,41,75,49,47,0,29,37
2020-03-20,24,49,39,154,56,124,83,69,0,57,55
2020-03-19,31,73,35,124,87,126,69,76,0,63,55
2020-03-18,36,64,36,123,70,104,74,82,50,72,66
2020-03-17,33,74,61,142,150,117,81,87,100,76,79
2020-03-16,56,103,85,201,93,142,94,114,50,98,95
2020-03-15,138,72,57,169,189,125,111,100,0,84,91
2020-03-14,109,111,85,161,85,138,112,112,100,92,109
2020-03-13,129,105,117,172,111,148,119,138,0,115,107
2020-03-12,101,121,138,122,109,109,107,127,100,110,105
2020-03-11,64,107,144,102,87,109,101,127,50,99,105
2020-03-10,74,112,122,107,81,95,89,109,150,103,106
2020-03-09,65,94,133,123,69,109,89,106,50,104,100
2020-03-08,126,90,50,117,104,91,92,99,0,97,98
2020-03-07,151,131,60,113,102,119,127,153,100,123,121
2020-03-06,116,135,122,113,109,126,125,132,0,124,124
2020-03-05,97,130,131,105,85,95,99,114,50,125,103
2020-03-04,63,104,127,90,81,97,97,112,50,104,98
2020-03-03,68,122,137,110,70,126,98,105,0,106,104
2020-03-02,84,107,133,93,83,111,105,89,50,122,107
2020-03-01,139,85,76,99,117,87,115,112,0,103,105
2020-02-29,159,131,90,125,98,126,136,151,100,128,145
2020-02-28,123,133,120,94,81,107,125,126,50,126,123
2020-02-27,93,112,125,105,117,117,111,107,250,97,111
2020-02-26,68,112,108,105,96,89,87,87,200,93,93
2020-02-25,70,106,129,108,81,103,95,99,250,97,105
2020-02-24,85,106,134,101,89,102,93,86,50,111,107
2020-02-23,121,78,50,102,131,89,104,100,0,83,95
2020-02-22,185,132,84,113,100,128,132,119,100,137,146
2020-02-21,110,124,115,94,70,125,125,125,0,115,119
2020-02-20,75,118,115,96,80,113,115,96,150,95,124
2020-02-19,85,96,125,76,76,101,121,94,100,109,95
2020-02-18,75,102,97,80,91,90,101,95,300,92,90
2020-02-17,58,86,138,80,74,89,106,115,50,96,92
2020-02-16,119,72,42,112,78,85,96,91,0,86,97
2020-02-15,152,108,67,102,83,99,132,107,200,121,123
2020-02-14,108,106,112,120,94,121,99,122,50,128,103
2020-02-13,70,114,121,98,107,112,94,96,200,107,98
2020-02-12,84,109,126,106,107,102,86,100,0,112,101
2020-02-11,70,105,128,95,94,103,81,82,150,97,95
2020-02-10,81,80,115,92,98,97,68,92,100,94,94
2020-02-09,98,54,42,105,89,81,85,71,0,73,89
2020-02-08,160,119,56,101,113,110,134,154,150,113,137
2020-02-07,121,135,131,112,113,130,107,128,150,107,112
2020-02-06,87,106,113,87,102,119,97,109,150,95,97
2020-02-05,91,111,131,86,93,97,78,88,200,103,97
2020-02-04,55,102,103,96,85,98,106,105,150,101,86
2020-02-03,97,106,104,111,128,103,87,101,100,105,90
2020-02-02,104,71,46,167,119,102,99,99,0,99,92
2020-02-01,154,109,73,117,113,96,143,136,100,142,121
2020-01-31,169,107,121,82,117,99,125,119,150,126,111
2020-01-30,80,117,114,92,93,99,97,102,100,100,107
2020-01-29,74,106,120,81,87,105,85,98,200,97,100
2020-01-28,89,114,109,92,89,97,93,75,150,97,93
2020-01-27,59,100,106,83,100,100,86,89,50,93,89
2020-01-26,94,62,43,81,69,77,81,91,0,82,81
2020-01-25,185,121,70,99,96,110,121,107,200,100,114
2020-01-24,95,95,110,139,78,113,120,107,150,99,91
2020-01-23,72,85,106,63,115,70,73,75,250,70,78
2020-01-22,51,92,117,95,111,100,87,89,100,77,83
2020-01-21,60,98,119,86,130,96,106,100,150,91,103
2020-01-20,69,85,100,105,109,90,78,87,50,71,87
2020-01-19,103,54,52,100,85,60,101,80,0,70,84
2020-01-18,104,100,57,111,156,95,108,124,100,97,119
2020-01-17,112,97,126,102,139,95,107,109,100,110,93
2020-01-16,79,101,129,84,87,101,87,99,250,88,88
2020-01-15,65,95,117,83,122,105,84,101,50,103,104
2020-01-14,62,80,109,82,124,85,77,85,0,76,68
2020-01-13,71,69,102,87,107,91,83,84,50,85,76
2020-01-12,120,48,37,100,70,71,68,61,0,60,71
2020-01-11,149,87,47,111,80,79,88,94,400,83,96
2020-01-10,137,95,148,92,98,117,98,112,150,106,96
2020-01-09,75,96,113,81,120,74,91,62,200,95,89
2020-01-08,73,91,117,92,130,100,82,80,200,85,81
2020-01-07,76,90,99,87,115,89,81,80,200,91,87
2020-01-06,72,87,124,99,126,95,85,95,100,90,89
2020-01-05,107,65,58,120,81,88,80,84,0,80,80
2020-01-04,193,131,77,104,115,125,107,104,250,125,135
2020-01-03,104,117,113,100,126,113,136,118,200,126,115
2020-01-02,77,103,103,104,106,107,102,114,150,100,103
2020-01-01,97,76,68,120,106,60,85,84,50,60,69
2019-12-31,156,113,125,161,98,130,100,84,50,103,102
2019-12-30,89,87,115,116,98,115,114,84,300,99,88
