Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-04-09,16,19,18,25,23,33,17,19,18,23,23,34
2020-04-08,13,20,19,24,24,36,15,17,21,23,22,34
2020-04-07,16,24,20,24,29,34,23,21,15,24,23,34
2020-04-06,16,16,18,22,27,33,17,15,20,23,22,33
2020-04-05,8,14,15,10,21,15,9,5,4,14,14,17
2020-04-04,11,19,17,13,19,19,16,6,10,16,17,20
2020-04-03,15,25,16,26,27,34,26,16,18,24,24,37
2020-04-02,17,24,14,25,26,28,17,20,17,23,23,35
2020-04-01,15,20,16,27,34,30,20,19,22,24,24,37
2020-03-31,18,17,15,25,26,35,18,19,16,24,23,36
2020-03-30,18,16,16,24,24,32,23,17,15,23,21,35
2020-03-29,12,17,9,8,18,13,12,3,6,14,14,15
2020-03-28,10,18,11,12,20,27,12,5,9,16,16,18
2020-03-27,17,20,14,26,28,34,24,13,18,24,24,37
2020-03-26,19,20,14,26,28,34,19,14,16,25,23,37
2020-03-25,21,28,14,32,40,42,26,16,19,28,27,40
2020-03-24,21,22,14,29,29,37,18,23,22,27,25,39
2020-03-23,19,24,13,30,26,31,19,20,16,27,26,39
2020-03-22,11,14,10,11,20,17,10,4,10,15,14,17
2020-03-21,11,15,10,12,21,25,7,6,9,18,16,19
2020-03-20,24,21,16,38,32,39,26,26,28,35,33,52
2020-03-19,32,30,23,49,39,51,43,37,38,40,38,63
2020-03-18,33,37,28,60,41,51,55,44,36,46,45,75
2020-03-17,46,41,29,67,54,69,53,45,42,52,54,88
2020-03-16,63,59,38,105,58,78,82,71,60,70,76,127
2020-03-15,34,52,23,29,56,41,26,24,33,39,44,51
2020-03-14,49,68,34,55,55,80,49,34,57,57,63,73
2020-03-13,96,94,55,148,95,95,126,104,91,107,120,199
2020-03-12,122,103,61,179,99,118,126,127,97,126,136,237
2020-03-11,115,112,68,182,83,111,118,129,103,133,141,254
2020-03-10,115,108,63,185,86,111,142,145,90,132,142,251
2020-03-09,112,106,73,186,82,107,134,131,97,129,143,249
2020-03-08,49,92,37,53,137,54,38,35,69,64,78,85
2020-03-07,70,108,43,83,146,84,82,49,97,84,100,110
2020-03-06,123,126,73,197,87,113,148,139,128,136,155,263
2020-03-05,126,118,77,198,92,118,147,135,107,142,159,272
2020-03-04,127,109,93,187,88,130,135,142,124,138,148,232
2020-03-03,127,119,136,205,90,128,161,145,127,142,150,178
2020-03-02,117,112,115,176,89,123,130,110,96,128,130,139
2020-03-01,50,71,45,51,112,63,31,34,83,60,75,63
2020-02-29,40,86,49,73,101,94,52,39,106,73,89,78
2020-02-28,118,122,125,192,100,144,124,134,113,139,149,152
2020-02-27,122,117,137,211,94,162,128,122,102,147,153,158
2020-02-26,116,105,138,188,83,113,113,126,90,134,137,146
2020-02-25,127,120,139,214,97,99,123,130,101,144,148,160
2020-02-24,123,112,135,202,91,106,120,133,110,136,142,151
2020-02-23,54,62,49,56,124,49,38,37,78,62,78,68
2020-02-22,72,100,92,95,147,85,98,59,125,88,113,99
2020-02-21,131,136,148,212,108,104,121,138,116,147,162,162
2020-02-20,128,123,150,216,97,105,142,135,109,148,160,165
2020-02-19,132,118,142,207,101,105,111,142,99,143,151,163
2020-02-18,122,106,133,196,84,101,93,137,97,135,140,153
2020-02-17,87,78,74,125,81,76,70,76,79,101,99,101
2020-02-16,59,85,51,64,101,60,26,35,80,73,92,78
2020-02-15,84,99,74,92,105,109,52,43,123,94,121,105
2020-02-14,127,131,125,193,95,138,116,129,130,149,164,160
2020-02-13,133,115,136,201,77,122,103,139,136,143,148,160
2020-02-12,126,127,134,190,87,125,105,127,127,146,142,159
2020-02-11,123,100,110,179,82,124,94,116,101,133,144,143
2020-02-10,121,81,99,121,82,117,96,119,95,110,122,108
2020-02-09,44,57,35,35,57,48,26,26,60,39,37,42
2020-02-08,69,92,66,59,127,90,52,38,95,61,57,67
2020-02-07,130,111,129,83,106,133,103,132,114,105,100,112
2020-02-06,132,121,144,76,92,127,124,123,89,105,98,105
2020-02-05,127,108,133,74,98,121,122,137,102,108,103,86
