Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2020-03-19,200,36,61,73,61,58,64,66
2020-03-18,200,70,56,76,67,69,69,51
2020-03-17,150,91,65,88,79,71,72,74
2020-03-16,100,88,76,109,71,69,84,85
2020-03-15,0,176,58,90,93,68,71,80
2020-03-14,50,121,88,103,108,107,86,114
2020-03-13,50,103,107,124,121,99,99,107
2020-03-12,50,76,105,102,99,113,99,119
2020-03-11,250,91,122,100,116,123,99,109
2020-03-10,100,88,107,84,119,133,92,120
2020-03-09,150,73,104,89,103,85,94,99
2020-03-08,50,133,91,116,129,143,89,77
2020-03-07,0,139,113,102,131,90,102,102
2020-03-06,200,100,110,102,145,142,108,100
2020-03-05,50,115,102,111,96,113,98,99
2020-03-04,0,61,116,101,97,95,95,106
2020-03-03,200,52,105,111,128,100,102,127
2020-03-02,50,79,108,110,104,118,100,92
2020-03-01,50,76,86,119,100,95,96,90
2020-02-29,0,112,113,102,113,127,108,112
2020-02-28,100,85,121,104,120,102,115,136
2020-02-27,150,100,108,99,107,114,108,120
2020-02-26,0,70,107,89,94,82,102,90
2020-02-25,150,73,105,91,88,119,104,105
2020-02-24,150,106,113,112,100,124,109,101
2020-02-23,0,58,80,120,131,124,95,85
2020-02-22,50,106,108,112,129,139,108,128
2020-02-21,50,112,108,99,119,118,113,120
2020-02-20,200,91,108,91,111,107,109,112
2020-02-19,100,100,112,104,84,127,108,106
2020-02-18,100,97,89,96,103,115,101,105
2020-02-17,100,64,96,95,119,76,95,105
2020-02-16,0,100,78,106,128,86,90,86
2020-02-15,200,85,103,111,99,145,104,109
2020-02-14,100,73,118,117,108,104,111,117
2020-02-13,250,73,106,93,108,94,109,107
2020-02-12,300,127,118,87,102,87,107,121
2020-02-11,50,103,104,93,88,96,103,114
2020-02-10,100,103,99,91,91,96,102,109
2020-02-09,50,112,68,111,87,99,83,69
2020-02-08,100,188,103,121,122,96,102,116
2020-02-07,200,133,121,99,138,100,115,117
2020-02-06,100,112,114,89,96,102,103,79
2020-02-05,200,91,116,87,94,83,103,106
2020-02-04,200,130,107,99,96,111,98,101
2020-02-03,50,91,104,95,83,88,100,95
2020-02-02,0,118,72,116,75,85,87,72
2020-02-01,150,106,98,115,129,144,101,149
2020-01-31,150,121,120,97,122,107,106,108
2020-01-30,50,85,110,95,107,102,105,101
2020-01-29,100,94,113,87,96,68,104,115
2020-01-28,100,73,102,90,87,99,101,105
2020-01-27,50,127,105,108,83,98,100,98
2020-01-26,0,97,71,88,72,104,81,67
2020-01-25,50,100,93,105,115,102,95,130
2020-01-24,150,100,101,98,113,98,107,87
2020-01-23,250,82,82,85,78,93,101,85
2020-01-22,50,64,99,83,59,88,111,79
2020-01-21,150,97,108,104,87,71,101,91
2020-01-20,0,103,88,98,82,102,88,100
2020-01-19,0,139,62,90,91,92,79,65
2020-01-18,50,109,94,107,138,121,97,122
2020-01-17,50,97,106,91,83,112,103,105
2020-01-16,200,97,98,110,84,77,103,91
2020-01-15,200,88,108,93,93,113,104,106
2020-01-14,150,118,103,88,87,77,97,99
2020-01-13,50,112,94,96,97,95,100,116
2020-01-12,0,136,57,79,92,67,78,47
2020-01-11,50,85,74,97,71,94,84,85
2020-01-10,200,158,108,102,106,98,106,102
