Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-05-09,0,75,87,74,107,61,116,81,115,73,51,85,2
2020-05-08,0,75,74,74,96,55,104,87,78,49,58,89,94
2020-05-07,0,36,64,50,75,71,95,76,83,22,48,71,62
2020-05-06,0,29,71,55,62,77,93,82,96,32,48,82,73
2020-05-05,0,43,63,54,52,60,95,82,83,17,45,69,58
2020-05-04,100,29,56,48,38,69,86,91,78,29,51,72,62
2020-05-03,0,39,50,55,42,68,82,63,77,20,28,58,2
2020-05-02,0,57,77,67,48,67,95,87,89,27,64,82,2
2020-05-01,0,71,78,80,51,70,114,105,104,37,51,94,88
2020-04-30,0,46,65,61,58,78,93,76,85,17,47,67,53
2020-04-29,0,43,48,82,63,45,49,76,67,39,45,68,45
2020-04-28,0,57,67,108,95,67,92,98,95,41,54,82,69
2020-04-27,100,39,62,88,82,56,99,84,85,29,51,68,54
2020-04-26,0,68,60,71,75,49,80,75,85,17,40,61,2
2020-04-25,0,61,66,85,86,35,119,79,57,32,40,70,1
2020-04-24,0,64,70,93,88,69,88,95,96,39,54,85,78
2020-04-23,100,64,64,65,84,50,84,69,78,34,49,66,73
2020-04-22,100,46,62,79,78,56,82,80,76,24,51,68,68
2020-04-21,100,39,62,67,91,55,103,78,78,39,56,71,66
2020-04-20,0,61,66,53,89,76,96,80,96,37,47,81,78
2020-04-19,0,29,56,48,82,53,76,61,63,46,29,62,1
2020-04-18,200,39,76,109,92,87,89,79,77,59,34,75,1
2020-04-17,0,43,70,79,86,52,96,74,67,22,40,72,61
2020-04-16,0,39,68,85,93,158,97,76,97,51,43,72,69
2020-04-15,0,50,55,54,71,70,96,64,75,24,46,69,64
2020-04-14,0,25,54,67,78,63,70,67,74,27,42,67,65
2020-04-13,0,39,60,64,94,67,97,58,59,34,42,63,60
2020-04-12,0,21,52,35,81,46,104,47,60,24,22,59,3
2020-04-11,200,54,61,77,90,68,97,66,68,44,35,75,3
2020-04-10,200,54,79,81,102,90,118,79,77,41,36,76,76
2020-04-09,100,18,60,63,81,63,95,68,69,24,40,68,62
2020-04-08,100,39,62,39,85,59,105,67,51,37,34,67,56
2020-04-07,0,43,58,46,88,82,132,69,61,20,39,73,65
2020-04-06,200,18,60,48,74,73,97,59,50,37,38,65,61
2020-04-05,0,46,52,26,77,67,104,52,52,32,25,54,1
2020-04-04,0,46,66,36,73,64,126,64,61,29,33,68,2
2020-04-03,0,46,79,58,99,133,130,89,102,46,55,82,80
2020-04-02,0,36,70,38,93,103,119,79,63,34,40,70,66
2020-04-01,0,68,74,50,106,197,139,76,84,27,48,67,67
2020-03-31,0,43,66,37,87,150,116,68,60,51,46,67,66
2020-03-30,0,29,63,42,85,205,82,71,57,20,48,72,50
2020-03-29,0,36,46,19,86,281,53,57,44,27,29,48,3
2020-03-28,100,39,63,36,83,219,74,58,61,12,38,64,3
2020-03-27,0,57,67,42,89,239,150,71,63,27,55,73,70
2020-03-26,0,46,57,41,81,272,107,72,53,37,48,68,59
2020-03-25,100,14,67,29,92,222,89,79,66,39,51,75,66
2020-03-24,100,21,63,36,82,85,76,72,61,20,52,65,54
2020-03-23,0,18,59,39,71,91,78,67,62,37,51,71,56
2020-03-22,0,14,46,20,75,53,81,44,61,20,25,56,3
2020-03-21,0,54,61,45,99,44,76,56,46,27,37,52,3
2020-03-20,0,100,75,38,103,74,88,78,59,34,47,74,66
2020-03-19,0,71,75,68,97,73,114,82,67,54,60,81,79
2020-03-18,0,36,82,54,75,77,99,74,62,51,61,80,71
2020-03-17,100,43,98,89,96,128,104,88,116,83,73,92,104
2020-03-16,0,43,92,101,96,116,135,99,97,85,94,100,123
2020-03-15,0,82,70,61,115,96,100,76,82,124,53,83,3
2020-03-14,100,129,98,65,118,77,103,89,73,193,69,95,3
2020-03-13,100,164,114,93,138,108,124,126,125,200,98,120,145
2020-03-12,100,139,106,105,106,113,103,114,99,134,109,111,132
2020-03-11,400,129,122,99,99,140,109,111,92,115,118,104,156
2020-03-10,100,82,106,102,100,123,92,100,101,144,123,104,159
2020-03-09,100,75,107,111,87,90,104,105,107,112,112,108,156
2020-03-08,0,136,80,70,116,62,95,95,90,166,64,104,6
2020-03-07,0,193,113,93,121,60,104,117,94,171,80,108,3
2020-03-06,100,111,130,95,111,96,127,131,132,183,102,120,174
2020-03-05,100,79,117,111,117,101,115,107,109,146,122,117,174
2020-03-04,0,125,108,111,111,99,105,107,111,132,115,117,166
2020-03-03,0,86,127,131,118,112,118,119,101,156,124,115,181
2020-03-02,100,107,109,115,118,96,105,114,117,129,99,120,178
2020-03-01,0,143,99,79,122,64,105,111,112,151,70,103,4
2020-02-29,100,150,126,88,120,60,128,126,122,141,93,112,2
2020-02-28,0,150,141,99,129,95,111,142,139,115,123,136,187
2020-02-27,0,64,109,104,118,91,99,128,148,102,130,123,149
2020-02-26,0,82,110,109,108,75,97,126,106,90,123,119,132
2020-02-25,100,82,110,113,81,81,111,109,102,112,136,113,168
2020-02-24,0,100,104,121,85,68,111,106,106,71,116,106,157
2020-02-23,0,129,86,65,93,59,116,86,94,80,62,92,6
2020-02-22,100,171,111,85,98,59,103,109,98,110,89,108,3
2020-02-21,0,139,128,111,98,95,99,102,109,100,107,124,157
